Winner,First_pokemon,Second_pokemon,WTag
280,60,280,2
339,339,566,1
102,416,102,2
675,675,360,1
67,67,224,1
781,781,459,1
798,509,798,2
206,14,206,2
253,253,178,1
133,133,799,1
10,743,10,2
279,2,279,2
615,615,608,1
562,562,210,1
255,338,255,2
20,20,205,1
490,763,490,2
65,5,65,2
706,706,369,1
593,659,593,2
47,262,47,2
387,387,650,1
774,640,774,2
696,696,640,1
267,267,120,1
163,671,163,2
2,289,2,2
414,414,64,1
352,389,352,2
393,482,393,2
260,571,260,2
253,504,253,2
171,751,171,2
300,226,300,2
705,161,705,2
693,251,693,2
37,664,37,2
643,643,305,1
480,175,480,2
731,247,731,2
795,795,122,1
159,675,159,2
544,457,544,2
223,719,223,2
346,346,82,1
772,535,772,2
555,18,555,2
9,9,82,1
192,192,229,1
84,268,84,2
452,639,452,2
760,760,310,1
741,749,741,2
179,160,179,2
708,641,708,2
611,611,609,1
330,330,667,1
93,93,733,1
18,578,18,2
36,376,36,2
202,389,202,2
251,251,459,1
737,737,8,1
249,249,277,1
133,379,133,2
31,31,296,1
8,116,8,2
631,631,168,1
449,52,449,2
260,126,260,2
466,289,466,2
279,279,447,1
646,722,646,2
212,628,212,2
720,720,734,1
653,726,653,2
627,627,102,1
498,141,498,2
710,491,710,2
125,380,125,2
592,621,592,2
683,683,237,1
703,561,703,2
300,300,510,1
410,410,608,1
711,252,711,2
56,56,535,1
177,177,308,1
96,81,96,2
313,231,313,2
71,551,71,2
85,596,85,2
573,243,573,2
42,42,619,1
546,247,546,2
643,643,654,1
398,240,398,2
283,283,517,1
181,181,460,1
758,758,396,1
427,427,269,1
704,463,704,2
342,242,342,2
9,334,9,2
532,35,532,2
107,107,500,1
97,97,342,1
598,598,660,1
467,467,325,1
735,245,735,2
790,361,790,2
305,464,305,2
397,397,122,1
727,658,727,2
562,761,562,2
574,574,26,1
697,697,775,1
687,515,687,2
619,619,97,1
313,290,313,2
438,438,563,1
537,537,192,1
741,741,117,1
172,172,465,1
268,238,268,2
694,497,694,2
555,395,555,2
541,691,541,2
68,441,68,2
268,268,744,1
745,745,241,1
65,65,733,1
338,338,347,1
191,411,191,2
2,2,609,1
366,105,366,2
795,13,795,2
84,338,84,2
769,769,10,1
261,261,129,1
84,84,179,1
590,590,199,1
605,608,605,2
701,113,701,2
101,10,101,2
708,335,708,2
498,169,498,2
686,686,217,1
5,386,5,2
723,723,356,1
420,420,28,1
772,772,40,1
677,452,677,2
647,647,502,1
110,110,296,1
420,232,420,2
430,249,430,2
263,263,95,1
504,504,593,1
147,374,147,2
337,356,337,2
635,100,635,2
590,39,590,2
646,287,646,2
559,741,559,2
295,334,295,2
242,50,242,2
233,564,233,2
273,273,325,1
748,748,239,1
662,182,662,2
186,293,186,2
490,520,490,2
232,232,382,1
163,163,785,1
313,52,313,2
36,36,289,1
253,396,253,2
269,122,269,2
410,410,532,1
117,117,584,1
128,531,128,2
443,443,449,1
344,657,344,2
255,255,369,1
343,799,343,2
248,97,248,2
130,130,609,1
647,647,632,1
537,537,332,1
186,391,186,2
135,135,689,1
497,309,497,2
92,92,676,1
633,88,633,2
519,519,778,1
193,193,308,1
141,281,141,2
7,7,725,1
278,274,278,2
708,708,30,1
778,292,778,2
532,200,532,2
249,538,249,2
550,550,607,1
638,601,638,2
558,321,558,2
263,313,263,2
795,795,376,1
131,254,131,2
550,350,550,2
397,397,291,1
132,507,132,2
367,582,367,2
282,708,282,2
350,350,372,1
472,472,182,1
515,515,87,1
280,280,519,1
300,482,300,2
539,531,539,2
786,786,676,1
795,795,395,1
776,776,113,1
541,252,541,2
745,395,745,2
643,390,643,2
380,380,49,1
249,249,530,1
3,585,3,2
9,143,9,2
418,418,683,1
340,340,102,1
519,519,287,1
793,774,793,2
409,409,750,1
722,722,222,1
568,568,120,1
367,367,146,1
674,674,313,1
299,299,798,1
547,547,762,1
548,609,548,2
431,431,370,1
385,226,385,2
712,712,695,1
590,244,590,2
308,461,308,2
728,728,662,1
490,380,490,2
597,304,597,2
328,530,328,2
611,611,547,1
253,168,253,2
134,728,134,2
571,571,492,1
424,424,728,1
26,594,26,2
172,674,172,2
714,465,714,2
706,226,706,2
745,745,450,1
32,107,32,2
785,785,645,1
233,612,233,2
601,86,601,2
551,551,405,1
629,80,629,2
69,69,525,1
799,799,82,1
329,329,775,1
420,420,62,1
713,343,713,2
551,142,551,2
213,213,698,1
275,275,663,1
648,685,648,2
342,197,342,2
314,36,314,2
795,644,795,2
316,316,538,1
548,113,548,2
347,318,347,2
330,330,734,1
141,141,169,1
137,137,352,1
92,517,92,2
713,460,713,2
364,364,89,1
616,192,616,2
780,364,780,2
311,277,311,2
540,274,540,2
84,14,84,2
4,412,4,2
337,37,337,2
59,31,59,2
206,331,206,2
520,520,433,1
95,454,95,2
358,358,575,1
186,401,186,2
34,34,231,1
755,755,210,1
797,139,797,2
771,771,203,1
492,492,639,1
132,800,132,2
366,366,96,1
106,607,106,2
702,702,680,1
660,487,660,2
590,590,256,1
4,175,4,2
553,553,75,1
718,712,718,2
623,623,738,1
137,532,137,2
402,402,456,1
729,729,118,1
106,53,106,2
499,499,490,1
303,488,303,2
88,88,181,1
163,163,24,1
228,228,636,1
596,516,596,2
746,292,746,2
490,490,653,1
690,690,719,1
691,691,156,1
23,29,23,2
787,787,243,1
221,221,140,1
55,55,302,1
320,560,320,2
135,135,666,1
513,513,590,1
563,563,247,1
35,189,35,2
699,699,108,1
403,750,403,2
551,403,551,2
526,265,526,2
549,581,549,2
633,633,576,1
581,581,751,1
158,158,226,1
230,681,230,2
391,391,238,1
648,599,648,2
540,540,182,1
184,720,184,2
643,771,643,2
695,695,753,1
65,65,464,1
524,524,761,1
593,684,593,2
205,785,205,2
150,433,150,2
547,637,547,2
409,409,206,1
527,530,527,2
503,779,503,2
666,489,666,2
165,165,759,1
486,104,486,2
213,227,213,2
797,575,797,2
205,205,112,1
291,291,121,1
573,515,573,2
690,690,179,1
328,201,328,2
7,7,174,1
280,280,641,1
690,111,690,2
700,700,595,1
212,579,212,2
314,302,314,2
473,473,720,1
214,279,214,2
290,210,290,2
133,296,133,2
398,60,398,2
637,49,637,2
158,55,158,2
702,702,227,1
540,547,540,2
679,679,244,1
293,298,293,2
163,163,658,1
182,81,182,2
583,583,541,1
747,747,310,1
255,255,672,1
427,362,427,2
549,549,564,1
177,177,744,1
155,155,320,1
34,309,34,2
20,285,20,2
696,696,272,1
191,191,418,1
197,197,625,1
794,794,790,1
39,686,39,2
549,203,549,2
343,343,303,1
56,56,113,1
528,528,97,1
550,550,398,1
428,647,428,2
64,64,319,1
693,693,64,1
795,799,795,2
711,711,425,1
472,526,472,2
619,619,105,1
407,182,407,2
773,773,713,1
685,363,685,2
614,789,614,2
679,292,679,2
706,349,706,2
751,335,751,2
370,370,625,1
136,27,136,2
129,129,580,1
438,668,438,2
240,658,240,2
310,790,310,2
665,665,100,1
259,779,259,2
544,544,475,1
314,751,314,2
193,637,193,2
490,490,297,1
265,265,577,1
563,563,357,1
706,706,484,1
270,535,270,2
596,596,180,1
61,61,401,1
428,37,428,2
307,307,113,1
398,623,398,2
524,524,115,1
426,441,426,2
800,784,800,2
664,482,664,2
626,255,626,2
490,490,353,1
548,619,548,2
494,378,494,2
169,305,169,2
163,163,301,1
25,25,114,1
773,773,175,1
204,243,204,2
394,255,394,2
316,181,316,2
216,317,216,2
392,392,405,1
570,116,570,2
215,577,215,2
682,682,643,1
403,504,403,2
432,702,432,2
387,17,387,2
216,216,569,1
537,537,347,1
316,316,596,1
660,660,786,1
206,206,637,1
663,663,308,1
350,487,350,2
477,477,255,1
234,398,234,2
139,409,139,2
581,581,586,1
648,733,648,2
717,69,717,2
367,367,256,1
631,320,631,2
550,550,60,1
521,752,521,2
93,93,26,1
121,121,338,1
162,16,162,2
751,605,751,2
314,145,314,2
483,106,483,2
438,438,696,1
211,185,211,2
319,671,319,2
280,280,123,1
184,184,367,1
125,458,125,2
261,492,261,2
546,150,546,2
486,218,486,2
401,689,401,2
658,346,658,2
546,132,546,2
97,302,97,2
498,498,591,1
135,332,135,2
645,645,609,1
159,781,159,2
366,366,582,1
285,285,297,1
774,774,105,1
533,331,533,2
328,328,180,1
432,733,432,2
43,283,43,2
397,397,440,1
280,777,280,2
792,792,687,1
610,610,533,1
314,314,586,1
766,766,76,1
451,356,451,2
497,497,149,1
538,320,538,2
701,701,774,1
257,257,698,1
767,767,653,1
93,501,93,2
737,484,737,2
171,171,111,1
724,153,724,2
70,134,70,2
1,733,1,2
212,373,212,2
420,420,309,1
681,681,762,1
694,564,694,2
586,586,139,1
301,83,301,2
427,427,334,1
704,702,704,2
272,536,272,2
614,614,242,1
230,754,230,2
579,579,668,1
548,483,548,2
205,205,401,1
518,365,518,2
717,717,393,1
437,529,437,2
570,17,570,2
343,463,343,2
493,454,493,2
776,776,482,1
604,604,661,1
659,659,452,1
339,594,339,2
315,221,315,2
551,551,52,1
228,228,719,1
341,39,341,2
320,320,277,1
382,382,632,1
424,244,424,2
26,26,612,1
477,374,477,2
107,769,107,2
146,146,664,1
282,282,208,1
658,176,658,2
37,37,798,1
39,39,645,1
147,147,700,1
425,425,599,1
465,465,13,1
154,154,189,1
229,684,229,2
187,464,187,2
229,229,575,1
473,514,473,2
155,155,746,1
584,262,584,2
692,692,457,1
253,763,253,2
540,212,540,2
598,308,598,2
340,333,340,2
770,770,599,1
349,19,349,2
542,520,542,2
616,616,571,1
125,125,306,1
310,327,310,2
262,98,262,2
653,201,653,2
114,653,114,2
178,365,178,2
730,730,743,1
3,462,3,2
248,483,248,2
554,554,250,1
747,40,747,2
214,214,377,1
139,436,139,2
572,572,382,1
387,69,387,2
429,681,429,2
631,742,631,2
92,729,92,2
674,674,140,1
249,25,249,2
539,539,99,1
245,245,452,1
409,404,409,2
586,574,586,2
475,475,492,1
393,393,530,1
475,99,475,2
226,584,226,2
361,361,325,1
475,475,402,1
683,683,1,1
62,122,62,2
555,741,555,2
787,261,787,2
603,603,186,1
432,436,432,2
793,793,247,1
521,521,244,1
50,50,487,1
677,677,710,1
568,568,645,1
426,426,45,1
366,366,412,1
671,654,671,2
232,18,232,2
799,799,27,1
651,651,609,1
382,382,458,1
83,83,775,1
438,55,438,2
296,488,296,2
472,472,619,1
418,302,418,2
601,190,601,2
775,641,775,2
518,518,127,1
705,517,705,2
254,254,229,1
372,680,372,2
588,409,588,2
306,324,306,2
554,486,554,2
540,409,540,2
342,342,203,1
517,512,517,2
531,531,246,1
562,639,562,2
646,624,646,2
604,604,207,1
248,579,248,2
783,18,783,2
654,369,654,2
234,234,779,1
772,772,761,1
694,694,747,1
24,101,24,2
58,663,58,2
302,302,723,1
70,70,171,1
442,442,54,1
565,577,565,2
156,156,582,1
748,298,748,2
594,234,594,2
453,470,453,2
443,443,417,1
393,393,470,1
423,604,423,2
44,130,44,2
186,186,182,1
698,69,698,2
328,328,702,1
581,755,581,2
700,695,700,2
651,22,651,2
344,344,447,1
388,104,388,2
287,751,287,2
163,769,163,2
572,162,572,2
24,135,24,2
717,717,597,1
232,267,232,2
630,511,630,2
656,281,656,2
600,600,171,1
536,491,536,2
187,187,14,1
72,72,105,1
275,275,622,1
799,25,799,2
770,203,770,2
110,110,9,1
216,216,377,1
707,51,707,2
477,198,477,2
421,421,786,1
152,231,152,2
271,328,271,2
480,175,480,2
172,172,188,1
601,601,667,1
713,791,713,2
303,577,303,2
794,794,50,1
521,521,405,1
20,20,48,1
21,15,21,2
92,92,241,1
699,731,699,2
794,794,130,1
635,635,116,1
354,96,354,2
418,706,418,2
691,691,374,1
19,19,442,1
68,68,47,1
151,151,641,1
484,484,357,1
778,512,778,2
71,71,287,1
632,289,632,2
232,232,292,1
131,49,131,2
574,574,758,1
549,549,181,1
797,217,797,2
273,273,501,1
135,135,129,1
333,333,491,1
333,114,333,2
687,628,687,2
341,341,400,1
516,39,516,2
349,349,282,1
230,230,598,1
60,60,417,1
598,598,764,1
495,495,515,1
720,592,720,2
110,110,3,1
272,681,272,2
20,20,266,1
313,268,313,2
213,149,213,2
152,238,152,2
709,709,533,1
766,766,4,1
372,372,517,1
650,74,650,2
792,792,456,1
171,171,108,1
233,233,79,1
600,600,598,1
737,384,737,2
420,420,458,1
702,702,7,1
426,170,426,2
3,3,324,1
567,76,567,2
137,390,137,2
341,341,474,1
343,343,621,1
536,455,536,2
147,147,469,1
484,47,484,2
514,514,256,1
451,451,201,1
362,43,362,2
155,203,155,2
135,745,135,2
284,207,284,2
159,159,287,1
127,347,127,2
525,218,525,2
121,536,121,2
155,155,564,1
758,758,282,1
280,280,496,1
696,678,696,2
673,355,673,2
427,427,304,1
694,694,673,1
424,563,424,2
299,43,299,2
280,280,309,1
429,429,515,1
87,56,87,2
531,531,51,1
358,358,471,1
430,430,788,1
422,31,422,2
582,582,564,1
727,727,271,1
164,748,164,2
616,616,353,1
735,675,735,2
614,40,614,2
574,574,380,1
712,242,712,2
217,190,217,2
614,614,58,1
721,591,721,2
111,470,111,2
193,567,193,2
24,24,240,1
59,25,59,2
222,222,459,1
658,434,658,2
37,37,253,1
50,50,207,1
156,231,156,2
99,402,99,2
314,226,314,2
535,535,76,1
223,223,696,1
606,473,606,2
703,516,703,2
538,526,538,2
425,425,387,1
65,351,65,2
795,795,167,1
42,42,458,1
435,251,435,2
705,348,705,2
644,224,644,2
413,333,413,2
133,133,61,1
387,387,775,1
308,402,308,2
143,143,688,1
65,65,173,1
750,750,104,1
684,586,684,2
546,515,546,2
428,267,428,2
481,481,460,1
469,469,286,1
683,726,683,2
133,762,133,2
377,377,492,1
421,421,176,1
750,634,750,2
424,448,424,2
3,388,3,2
8,8,522,1
646,560,646,2
377,511,377,2
428,428,231,1
102,359,102,2
181,181,373,1
186,561,186,2
94,94,289,1
710,710,300,1
708,6,708,2
205,205,463,1
362,277,362,2
588,522,588,2
724,724,182,1
478,478,775,1
388,388,587,1
9,235,9,2
454,454,763,1
687,112,687,2
670,670,486,1
494,584,494,2
762,762,445,1
690,690,81,1
247,247,780,1
576,576,783,1
388,388,670,1
731,731,373,1
624,624,116,1
748,358,748,2
127,127,81,1
727,786,727,2
576,726,576,2
554,554,439,1
468,468,190,1
80,80,607,1
617,60,617,2
160,719,160,2
291,468,291,2
541,30,541,2
568,460,568,2
739,739,305,1
449,449,406,1
345,282,345,2
250,548,250,2
281,281,190,1
645,645,416,1
56,119,56,2
475,523,475,2
13,244,13,2
741,485,741,2
481,501,481,2
302,257,302,2
300,300,6,1
791,791,615,1
154,154,372,1
422,692,422,2
244,230,244,2
300,300,148,1
699,397,699,2
394,394,720,1
343,612,343,2
212,212,89,1
131,599,131,2
611,638,611,2
733,733,226,1
606,416,606,2
723,462,723,2
610,222,610,2
474,474,391,1
795,795,397,1
214,214,149,1
269,269,512,1
779,257,779,2
454,454,732,1
478,515,478,2
37,37,298,1
764,764,111,1
136,136,598,1
31,31,446,1
677,677,721,1
574,67,574,2
394,394,515,1
216,791,216,2
152,152,411,1
126,416,126,2
49,49,789,1
339,339,640,1
623,623,647,1
373,373,559,1
300,672,300,2
462,462,304,1
420,591,420,2
663,366,663,2
136,124,136,2
477,477,255,1
484,484,595,1
30,211,30,2
165,392,165,2
114,114,789,1
184,138,184,2
298,298,113,1
490,733,490,2
288,288,115,1
495,653,495,2
101,101,632,1
505,505,462,1
528,372,528,2
125,125,218,1
37,37,2,1
728,217,728,2
275,531,275,2
154,219,154,2
591,591,486,1
694,450,694,2
481,481,722,1
394,394,386,1
770,400,770,2
750,577,750,2
670,363,670,2
112,586,112,2
637,256,637,2
260,260,255,1
212,212,425,1
272,567,272,2
772,772,255,1
525,525,285,1
498,498,141,1
494,496,494,2
582,335,582,2
510,292,510,2
553,740,553,2
625,53,625,2
699,661,699,2
629,349,629,2
170,220,170,2
205,294,205,2
82,82,201,1
472,414,472,2
483,483,770,1
686,564,686,2
260,260,195,1
551,793,551,2
429,357,429,2
735,237,735,2
88,210,88,2
475,475,450,1
454,217,454,2
597,597,750,1
799,799,517,1
616,142,616,2
478,478,228,1
326,326,152,1
610,610,547,1
714,714,675,1
13,13,186,1
616,690,616,2
561,561,76,1
59,540,59,2
774,774,118,1
544,670,544,2
397,221,397,2
101,101,48,1
288,290,288,2
651,651,244,1
212,212,392,1
154,596,154,2
514,405,514,2
56,392,56,2
272,462,272,2
644,644,601,1
414,414,264,1
535,535,81,1
394,355,394,2
299,527,299,2
581,77,581,2
496,496,244,1
518,518,152,1
293,601,293,2
713,148,713,2
84,333,84,2
393,746,393,2
536,483,536,2
392,733,392,2
738,516,738,2
54,73,54,2
426,305,426,2
146,739,146,2
446,252,446,2
430,430,571,1
598,389,598,2
746,91,746,2
523,447,523,2
401,395,401,2
771,241,771,2
8,288,8,2
170,170,282,1
507,507,626,1
568,568,412,1
358,358,329,1
56,56,729,1
701,710,701,2
543,543,393,1
37,625,37,2
92,630,92,2
488,488,47,1
316,603,316,2
48,48,126,1
533,142,533,2
193,405,193,2
699,699,34,1
409,244,409,2
108,88,108,2
559,559,506,1
341,341,789,1
413,413,325,1
299,25,299,2
331,487,331,2
542,4,542,2
405,71,405,2
232,232,548,1
214,214,52,1
97,97,58,1
365,593,365,2
697,697,723,1
102,102,310,1
571,571,282,1
408,160,408,2
438,649,438,2
451,451,575,1
745,381,745,2
306,306,77,1
616,89,616,2
670,578,670,2
49,667,49,2
566,395,566,2
631,631,217,1
194,194,117,1
286,604,286,2
460,460,53,1
759,501,759,2
768,68,768,2
409,338,409,2
464,240,464,2
623,623,508,1
57,459,57,2
748,124,748,2
717,717,436,1
534,534,402,1
729,324,729,2
708,708,330,1
553,390,553,2
240,240,76,1
794,669,794,2
158,425,158,2
274,150,274,2
323,176,323,2
697,697,730,1
71,71,115,1
368,231,368,2
23,685,23,2
344,344,488,1
611,611,594,1
629,629,27,1
106,436,106,2
339,339,262,1
542,680,542,2
124,124,167,1
568,568,185,1
85,85,180,1
513,101,513,2
431,431,397,1
598,598,595,1
526,602,526,2
635,635,212,1
354,354,639,1
570,652,570,2
23,320,23,2
271,271,458,1
766,766,181,1
190,683,190,2
98,390,98,2
101,101,285,1
146,121,146,2
260,260,770,1
284,284,293,1
349,349,516,1
758,758,607,1
124,693,124,2
544,544,793,1
694,694,112,1
11,11,449,1
343,148,343,2
62,62,374,1
321,321,188,1
391,661,391,2
62,62,150,1
261,391,261,2
553,553,703,1
9,9,637,1
524,524,723,1
695,636,695,2
715,339,715,2
594,247,594,2
790,537,790,2
665,215,665,2
140,242,140,2
184,619,184,2
464,464,660,1
365,173,365,2
572,1,572,2
266,266,665,1
471,6,471,2
472,472,703,1
768,768,612,1
586,729,586,2
631,168,631,2
269,269,81,1
518,412,518,2
508,333,508,2
493,483,493,2
79,79,448,1
559,559,489,1
750,393,750,2
541,696,541,2
166,166,424,1
135,135,482,1
543,543,458,1
268,372,268,2
244,39,244,2
476,576,476,2
154,154,650,1
711,176,711,2
228,749,228,2
528,528,681,1
716,769,716,2
184,542,184,2
148,148,561,1
160,487,160,2
531,524,531,2
215,207,215,2
377,377,390,1
380,662,380,2
57,57,178,1
306,306,511,1
339,339,648,1
469,254,469,2
3,693,3,2
643,643,790,1
705,705,546,1
616,616,653,1
259,259,21,1
356,356,603,1
513,513,225,1
693,693,386,1
675,675,652,1
588,122,588,2
311,311,356,1
718,718,736,1
219,219,676,1
634,161,634,2
573,573,281,1
470,318,470,2
137,434,137,2
2,2,733,1
649,649,538,1
24,24,774,1
131,131,124,1
303,303,267,1
265,292,265,2
5,5,119,1
594,594,632,1
219,219,377,1
29,29,113,1
86,86,60,1
340,340,89,1
335,774,335,2
230,758,230,2
119,764,119,2
408,50,408,2
1,76,1,2
133,558,133,2
705,204,705,2
303,579,303,2
11,586,11,2
159,600,159,2
135,135,198,1
534,534,357,1
727,727,34,1
133,133,762,1
716,756,716,2
7,7,754,1
522,543,522,2
771,359,771,2
162,162,511,1
739,107,739,2
273,273,348,1
398,398,670,1
611,634,611,2
545,788,545,2
314,314,151,1
574,15,574,2
478,478,79,1
284,470,284,2
406,669,406,2
58,199,58,2
572,572,75,1
493,379,493,2
56,665,56,2
526,347,526,2
1,620,1,2
40,40,227,1
603,313,603,2
425,69,425,2
205,278,205,2
204,631,204,2
643,643,317,1
549,507,549,2
526,526,61,1
180,217,180,2
663,663,106,1
563,563,455,1
77,365,77,2
151,151,167,1
738,738,458,1
8,496,8,2
314,313,314,2
146,146,482,1
116,116,402,1
27,630,27,2
498,498,161,1
437,309,437,2
234,234,202,1
690,789,690,2
778,626,778,2
7,722,7,2
493,356,493,2
491,491,724,1
349,37,349,2
134,134,769,1
762,761,762,2
157,188,157,2
570,360,570,2
524,524,36,1
267,243,267,2
732,732,593,1
689,749,689,2
342,610,342,2
584,584,558,1
543,543,323,1
317,369,317,2
111,321,111,2
135,135,161,1
752,624,752,2
372,226,372,2
708,541,708,2
468,290,468,2
142,496,142,2
603,603,83,1
584,25,584,2
291,482,291,2
135,148,135,2
280,14,280,2
186,258,186,2
527,564,527,2
283,97,283,2
206,356,206,2
459,459,399,1
477,477,168,1
567,567,621,1
513,112,513,2
643,643,672,1
598,231,598,2
773,293,773,2
541,752,541,2
393,613,393,2
762,464,762,2
553,413,553,2
451,451,226,1
795,128,795,2
165,165,52,1
266,266,491,1
342,342,744,1
119,441,119,2
392,197,392,2
340,340,58,1
511,511,774,1
414,475,414,2
411,669,411,2
600,471,600,2
636,386,636,2
426,426,36,1
283,506,283,2
600,458,600,2
300,364,300,2
659,561,659,2
674,674,676,1
593,593,122,1
524,524,230,1
125,125,407,1
557,557,462,1
371,395,371,2
7,560,7,2
797,797,25,1
232,232,800,1
755,354,755,2
368,53,368,2
691,691,739,1
616,616,579,1
671,194,671,2
547,547,371,1
685,685,471,1
8,8,63,1
711,370,711,2
622,622,82,1
174,579,174,2
471,606,471,2
80,463,80,2
270,796,270,2
401,328,401,2
546,64,546,2
589,149,589,2
513,513,379,1
708,417,708,2
747,747,784,1
18,18,318,1
681,619,681,2
280,400,280,2
737,737,329,1
473,51,473,2
86,43,86,2
169,169,497,1
246,38,246,2
558,595,558,2
272,593,272,2
48,48,25,1
158,302,158,2
687,771,687,2
172,241,172,2
540,215,540,2
260,260,162,1
759,620,759,2
6,6,722,1
483,79,483,2
316,185,316,2
349,349,22,1
16,42,16,2
615,363,615,2
328,539,328,2
20,189,20,2
142,142,641,1
454,509,454,2
527,752,527,2
702,702,711,1
246,246,592,1
329,329,235,1
518,518,230,1
505,505,285,1
502,575,502,2
288,764,288,2
586,291,586,2
287,290,287,2
773,379,773,2
715,715,497,1
576,331,576,2
765,442,765,2
716,389,716,2
451,451,293,1
107,203,107,2
306,798,306,2
338,730,338,2
543,332,543,2
408,408,197,1
752,752,695,1
742,458,742,2
457,76,457,2
214,214,445,1
583,583,244,1
705,594,705,2
248,800,248,2
259,259,338,1
332,332,318,1
155,155,351,1
483,483,323,1
704,300,704,2
420,420,560,1
423,423,657,1
690,401,690,2
5,2,5,2
31,302,31,2
702,339,702,2
301,301,189,1
340,340,754,1
511,511,452,1
277,749,277,2
598,497,598,2
508,508,230,1
465,465,536,1
673,673,515,1
425,425,320,1
353,658,353,2
52,52,190,1
235,235,18,1
5,5,485,1
542,542,597,1
155,155,716,1
25,75,25,2
163,399,163,2
499,499,794,1
629,417,629,2
522,522,453,1
795,795,185,1
127,127,661,1
783,636,783,2
606,306,606,2
186,186,732,1
254,788,254,2
494,494,383,1
546,546,332,1
142,560,142,2
732,732,543,1
424,222,424,2
721,351,721,2
770,770,500,1
514,529,514,2
408,586,408,2
484,484,594,1
536,536,652,1
22,22,355,1
764,203,764,2
502,335,502,2
259,259,260,1
599,651,599,2
115,115,257,1
534,534,565,1
656,433,656,2
432,432,23,1
181,208,181,2
706,706,264,1
190,162,190,2
85,85,227,1
158,383,158,2
314,314,435,1
426,678,426,2
772,772,141,1
15,625,15,2
751,211,751,2
259,325,259,2
301,301,27,1
565,565,411,1
773,773,681,1
147,147,689,1
610,738,610,2
613,613,761,1
477,477,558,1
502,502,252,1
794,794,456,1
743,743,660,1
559,559,160,1
676,100,676,2
785,785,675,1
406,728,406,2
278,278,374,1
523,523,150,1
515,117,515,2
93,545,93,2
222,73,222,2
696,500,696,2
758,489,758,2
551,743,551,2
413,413,325,1
550,489,550,2
621,621,82,1
368,368,156,1
563,221,563,2
